index	question	answer	task	image_relation	image_type	counterpart_idx	image_path	A	B	C	D	E
240	How many guinea pigs are there in each image? <image> <image>	D	Counting	Partial Similarity	Photography	241	['00000240_00.jpg', '00000240_01.jpg']	Four	Three	Two	One	None of the choices provided
241	How many guinea pigs are there in each image? <image> <image>	C	Counting	Partial Similarity	Photography	240	['00000241_00.jpg', '00000241_01.jpg']	Four	Two	None of the choices provided	Zero	Three
242	How many small furry mammals facing opposite directions are there? <image> <image>	C	Counting	Partial Similarity	Photography	243	['00000242_00.jpg', '00000242_01.jpg']	Three	None of the choices provided	Two	Four	One
243	How many small furry mammals facing opposite directions are there? <image> <image>	C	Counting	Partial Similarity	Photography	242	['00000243_00.jpg', '00000243_01.jpg']	Zero	One	None of the choices provided	Three	Four
244	How many warthogs are there in the pair of images? <image> <image>	E	Counting	Partial Similarity	Photography	245	['00000244_00.jpg', '00000244_01.jpg']	Three	None of the choices provided	One	Four	Two
245	How many warthogs are there in the pair of images? <image> <image>	E	Counting	Partial Similarity	Photography	244	['00000245_00.jpg', '00000245_01.jpg']	Zero	Three	One	Four	None of the choices provided
246	How many lemon trees are there? <image> <image>	C	Counting	Partial Similarity	Photography	247	['00000246_00.jpg', '00000246_01.jpg']	Four	One	Two	Three	None of the choices provided
247	How many lemon trees are there? <image> <image>	B	Counting	Partial Similarity	Photography	246	['00000247_00.jpg', '00000247_01.jpg']	Four	None of the choices provided	One	Three	Zero
248	How many vending machines that have food or drinks are there? <image> <image>	C	Counting	Partial Similarity	Photography	249	['00000248_00.jpg', '00000248_01.jpg']	Eight	Four	Seven	None of the choices provided	Ten
249	How many vending machines that have food or drinks are there? <image> <image>	A	Counting	Partial Similarity	Photography	248	['00000249_00.jpg', '00000249_01.jpg']	None of the choices provided	Four	Two	Eight	Ten
250	How many images show assorted beetles in a vending machine? <image> <image>	A	Counting	Partial Similarity	Photography	251	['00000250_00.jpg', '00000250_01.jpg']	One	Four	None of the choices provided	Three	Two
251	How many images show assorted beetles in a vending machine? <image> <image>	D	Counting	Partial Similarity	Photography	250	['00000251_00.jpg', '00000251_01.jpg']	Two	Zero	Four	None of the choices provided	Three
252	How many stuffed bears are there? <image> <image>	C	Counting	Partial Similarity	Photography	253	['00000252_00.jpg', '00000252_01.jpg']	Four	Three	One	Two	None of the choices provided
253	How many stuffed bears are there? <image> <image>	D	Counting	Partial Similarity	Photography	252	['00000253_00.jpg', '00000253_01.jpg']	Two	Zero	Three	None of the choices provided	Four
254	How many animals [ibex] are there? <image> <image>	E	Counting	Partial Similarity	Photography	255	['00000254_00.jpg', '00000254_01.jpg']	Three	One	Two	None of the choices provided	Five
255	How many animals [ibex] are there? <image> <image>	C	Counting	Partial Similarity	Photography	254	['00000255_00.jpg', '00000255_01.jpg']	Three	One	None of the choices provided	Two	Zero
256	How many ferrets are interacting with each other in one of the images? <image> <image>	E	Counting	Partial Similarity	Photography	257	['00000256_00.jpg', '00000256_01.jpg']	One	None of the choices provided	Four	Three	Two
257	How many ferrets are interacting with each other in one of the images? <image> <image>	B	Counting	Partial Similarity	Photography	256	['00000257_00.jpg', '00000257_01.jpg']	Zero	None of the choices provided	One	Three	Four
258	How many ferrets are there? <image> <image>	C	Counting	Partial Similarity	Photography	259	['00000258_00.jpg', '00000258_01.jpg']	Two	None of the choices provided	Three	Five	Four
259	How many ferrets are there? <image> <image>	B	Counting	Partial Similarity	Photography	258	['00000259_00.jpg', '00000259_01.jpg']	Five	None of the choices provided	One	Two	Four
260	How many humans are included in each image? <image> <image>	C	Counting	Partial Similarity	Photography	261	['00000260_00.jpg', '00000260_01.jpg']	Two	Four	Zero	None of the choices provided	Three
261	How many humans are included in each image? <image> <image>	A	Counting	Partial Similarity	Photography	260	['00000261_00.jpg', '00000261_01.jpg']	None of the choices provided	One	Four	Two	Three
262	How many mammals are shown in the images? <image> <image>	A	Counting	Partial Similarity	Photography	263	['00000262_00.jpg', '00000262_01.jpg']	Two	Four	None of the choices provided	One	Three
263	How many mammals are shown in the images? <image> <image>	A	Counting	Partial Similarity	Photography	262	['00000263_00.jpg', '00000263_01.jpg']	None of the choices provided	One	Four	Zero	Three
264	How many dogs in the image are all black? <image> <image>	C	Counting	Partial Similarity	Photography	265	['00000264_00.jpg', '00000264_01.jpg']	None of the choices provided	Three	One	Four	Two
265	How many dogs in the image are all black? <image> <image>	E	Counting	Partial Similarity	Photography	264	['00000265_00.jpg', '00000265_01.jpg']	Zero	Four	Two	Three	None of the choices provided
266	How many dogs are standing outside near a yellow flower pot in one of the images? <image> <image>	C	Counting	Partial Similarity	Photography	267	['00000266_00.jpg', '00000266_01.jpg']	Two	None of the choices provided	One	Three	Four
267	How many dogs are standing outside near a yellow flower pot in one of the images? <image> <image>	B	Counting	Partial Similarity	Photography	266	['00000267_00.jpg', '00000267_01.jpg']	Two	None of the choices provided	Zero	Four	Three
268	How many dogs are standing outside near a yellow flower pot in one of the images? <image> <image>	C	Counting	Partial Similarity	Photography	269	['00000268_00.jpg', '00000268_01.jpg']	Two	Three	One	None of the choices provided	Four
269	How many dogs are standing outside near a yellow flower pot in one of the images? <image> <image>	D	Counting	Partial Similarity	Photography	268	['00000269_00.jpg', '00000269_01.jpg']	Zero	Four	Three	None of the choices provided	Two
270	What is the maximum number of water bottles of the same height and shape displayed horizontally in each row in the image? <image> <image>	B	Counting	Partial Similarity	Photography	271	['00000270_00.jpg', '00000270_01.jpg']	One	Three	Two	None of the choices provided	Four
271	What is the maximum number of water bottles of the same height and shape displayed horizontally in each row in the image? <image> <image>	C	Counting	Partial Similarity	Photography	270	['00000271_00.jpg', '00000271_01.jpg']	One	Four	None of the choices provided	Zero	Two
272	How many water bottles are there in the image? <image> <image>	E	Counting	Partial Similarity	Photography	273	['00000272_00.jpg', '00000272_01.jpg']	Three	One	Four	None of the choices provided	Two
273	How many water bottles are there in the image? <image> <image>	D	Counting	Partial Similarity	Photography	272	['00000273_00.jpg', '00000273_01.jpg']	Four	Three	Zero	None of the choices provided	One
274	How many puppies are standing on a wooden surface in one of the images? <image> <image>	D	Counting	Partial Similarity	Photography	275	['00000274_00.jpg', '00000274_01.jpg']	Four	Three	None of the choices provided	One	Two
275	How many puppies are standing on a wooden surface in one of the images? <image> <image>	E	Counting	Partial Similarity	Photography	274	['00000275_00.jpg', '00000275_01.jpg']	Three	Zero	Two	Four	None of the choices provided
276	How many wooden flute parts are there in the set laying in their carrying case? <image> <image>	E	Counting	Partial Similarity	Photography	277	['00000276_00.jpg', '00000276_01.jpg']	Two	None of the choices provided	Five	Four	Three
277	How many wooden flute parts are there in the set laying in their carrying case? <image> <image>	B	Counting	Partial Similarity	Photography	276	['00000277_00.jpg', '00000277_01.jpg']	Two	None of the choices provided	Four	One	Five
278	How many zip tent canopies are there? <image> <image>	D	Counting	Partial Similarity	Photography	279	['00000278_00.jpg', '00000278_01.jpg']	None of the choices provided	One	Four	Two	Three
279	How many zip tent canopies are there? <image> <image>	E	Counting	Partial Similarity	Photography	278	['00000279_00.jpg', '00000279_01.jpg']	Four	Zero	Three	One	None of the choices provided
280	How many boys are riding animals in the images? <image> <image>	D	Counting	Partial Similarity	Photography	281	['00000280_00.jpg', '00000280_01.jpg']	Four	None of the choices provided	One	Two	Three
281	How many boys are riding animals in the images? <image> <image>	B	Counting	Partial Similarity	Photography	280	['00000281_00.jpg', '00000281_01.jpg']	Zero	None of the choices provided	Four	Three	One
282	How many wheels does the cart have in the images? <image> <image>	C	Counting	Partial Similarity	Photography	283	['00000282_00.jpg', '00000282_01.jpg']	None of the choices provided	Three	Two	One	Four
283	How many wheels does the cart have in the images? <image> <image>	C	Counting	Partial Similarity	Photography	282	['00000283_00.jpg', '00000283_01.jpg']	Zero	One	None of the choices provided	Three	Four
284	How many dark-haired hyena pups are there in the combined images? <image> <image>	D	Counting	Partial Similarity	Photography	285	['00000284_00.jpg', '00000284_01.jpg']	Two	None of the choices provided	Three	One	Four
285	How many dark-haired hyena pups are there in the combined images? <image> <image>	C	Counting	Partial Similarity	Photography	284	['00000285_00.jpg', '00000285_01.jpg']	Zero	Two	None of the choices provided	Three	Four
286	How many apes with open mouths showing teeth are there in the combined images? <image> <image>	A	Counting	Partial Similarity	Photography	287	['00000286_00.jpg', '00000286_01.jpg']	Two	Three	Four	None of the choices provided	One
287	How many apes with open mouths showing teeth are there in the combined images? <image> <image>	A	Counting	Partial Similarity	Photography	286	['00000287_00.jpg', '00000287_01.jpg']	None of the choices provided	One	Four	Zero	Three
288	Could you predict the series of actions in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	289	['00000288_00.jpg', '00000288_01.jpg', '00000288_02.jpg', '00000288_03.jpg', '00000288_04.jpg', '00000288_05.jpg', '00000288_06.jpg', '00000288_07.jpg']	None of the choices provided	squeeze juice, hold spoon, reach plate, carry bowl	hold cup, reach cup, carry cup	flip cup, hold plate, pour juice, carry spoon	
289	Could you predict the series of actions in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	288	['00000289_00.jpg', '00000289_01.jpg', '00000289_02.jpg', '00000289_03.jpg', '00000289_04.jpg', '00000289_05.jpg', '00000289_06.jpg', '00000289_07.jpg']	reach bowl, hold fork, transfer soup, carry cup	hold cup, reach cup, carry cup	flip cup, hold plate, pour juice, carry spoon	None of the choices provided	
290	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	291	['00000290_00.jpg', '00000290_01.jpg', '00000290_02.jpg', '00000290_03.jpg', '00000290_04.jpg', '00000290_05.jpg', '00000290_06.jpg', '00000290_07.jpg']	pour juice into cup, grab kettle, take out teabag from cup	pour water, carry kettle, carry teabag, reach cup	None of the choices provided	pour milk into cup, pick up kettle, remove teabag from cup	
291	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	290	['00000291_00.jpg', '00000291_01.jpg', '00000291_02.jpg', '00000291_03.jpg', '00000291_04.jpg', '00000291_05.jpg', '00000291_06.jpg', '00000291_07.jpg']	scoop water from kettle into cup, carry kettle, insert teabag into cup	pour milk into cup, pick up kettle, remove teabag from cup	carry teabag, reach cup, pour water, carry kettle	None of the choices provided	
292	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	293	['00000292_00.jpg', '00000292_01.jpg', '00000292_02.jpg', '00000292_03.jpg', '00000292_04.jpg', '00000292_05.jpg', '00000292_06.jpg', '00000292_07.jpg']	open cabinet, carry teabox, close cabinet, open and close teabox, carry teabag	crack egg, peel orange, pour milk, lift open fridge, scoop flour	None of the choices provided	reach knife, wipe stove, pour water, screw open pepper cap, cook egg	
293	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	292	['00000293_00.jpg', '00000293_01.jpg', '00000293_02.jpg', '00000293_03.jpg', '00000293_04.jpg', '00000293_05.jpg', '00000293_06.jpg', '00000293_07.jpg']	crack egg, peel orange, pour milk, lift open fridge, scoop flour	None of the choices provided	close cabinet, open and close teabox, carry teabag, open cabinet, carry teabox	scoop cereal, press close cabinet, cut bread, transfer fruit to plate, open and close drawer	
294	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	295	['00000294_00.jpg', '00000294_01.jpg', '00000294_02.jpg', '00000294_03.jpg', '00000294_04.jpg', '00000294_05.jpg', '00000294_06.jpg', '00000294_07.jpg']	reach teabag, carry teabag, open kettle	None of the choices provided	open teabag, pour teabag, reach kettle	open teabag, carry teabag, reach kettle	
295	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	294	['00000295_00.jpg', '00000295_01.jpg', '00000295_02.jpg', '00000295_03.jpg', '00000295_04.jpg', '00000295_05.jpg', '00000295_06.jpg', '00000295_07.jpg']	open teabag, pour teabag, reach kettle	None of the choices provided	reach teabag, carry teabag, open kettle	open teabag, transfer teabag, reach kettle	
296	Please recognize the actions happening in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	297	['00000296_00.jpg', '00000296_01.jpg', '00000296_02.jpg', '00000296_03.jpg', '00000296_04.jpg', '00000296_05.jpg', '00000296_06.jpg', '00000296_07.jpg']	lift open kettle, reach cup cap, carry cup, pour milk, carry kettle, carry teacup	carry kettle, pour tea spoon, pour water, pour sugar, reach cup, carry kettle	reach kettle, reach cup, carry cup, pour water, carry kettle, carry teabag	None of the choices provided	
297	Please recognize the actions happening in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	296	['00000297_00.jpg', '00000297_01.jpg', '00000297_02.jpg', '00000297_03.jpg', '00000297_04.jpg', '00000297_05.jpg', '00000297_06.jpg', '00000297_07.jpg']	carry kettle, pour water, transfer tea spoon, carry cup, open kettle, carry teacup	None of the choices provided	reach cup, carry cup, pour water, carry kettle, carry teabag, reach kettle	carry kettle, pour tea spoon, pour water, pour sugar, reach cup, carry kettle	
298	Please recognize the consecutive actions in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	299	['00000298_00.jpg', '00000298_01.jpg', '00000298_02.jpg', '00000298_03.jpg', '00000298_04.jpg', '00000298_05.jpg', '00000298_06.jpg', '00000298_07.jpg']	reach teabox, open and close teabox, reach teabag, scramble eggs	reach teabox, open and close teabox, reach teabag, pour water from kettle	reach teabox, open and close teabox, reach teabagp	None of the choices provided	
299	Please recognize the consecutive actions in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	298	['00000299_00.jpg', '00000299_01.jpg', '00000299_02.jpg', '00000299_03.jpg', '00000299_04.jpg', '00000299_05.jpg', '00000299_06.jpg', '00000299_07.jpg']	reach teabox, open and close teabox, reach teabag, pour water from kettle	reach teabox, open and close teabox, reach teabag, scramble eggs	None of the choices provided	reach teabox, open and close teabox, reach teabag, squeeze lemon juice	
300	Please recognize the consecutive actions in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	301	['00000300_00.jpg', '00000300_01.jpg', '00000300_02.jpg', '00000300_03.jpg', '00000300_04.jpg', '00000300_05.jpg', '00000300_06.jpg', '00000300_07.jpg']	reach cup, carry cup, pour water, reach teabag, carry teabag	carry teabag, reach cup, pour water, carry cup, reach teabag	None of the choices provided	reach cup, reach teabag, carry cup, carry teabag, pour water	
301	Please recognize the consecutive actions in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	300	['00000301_00.jpg', '00000301_01.jpg', '00000301_02.jpg', '00000301_03.jpg', '00000301_04.jpg', '00000301_05.jpg', '00000301_06.jpg', '00000301_07.jpg']	reach cup, pour water, carry cup, reach teabag, carry teabag	reach cup, reach teabag, carry cup, carry teabag, pour water	reach teabag, carry teabag, reach cup, carry cup, pour water	None of the choices provided	
302	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	303	['00000302_00.jpg', '00000302_01.jpg', '00000302_02.jpg', '00000302_03.jpg', '00000302_04.jpg', '00000302_05.jpg', '00000302_06.jpg', '00000302_07.jpg']	None of the choices provided	open cabinet, take out bread, spread butter on bread, put cheese on bread, close bread, cut sandwich in half	peel banana, break banana into pieces, dip banana in chocolate, cover banana in sprinkles, place banana on plate, freeze banana for 1 hour	carry teabag, carry cup, carry kettle, pour water, carry kettle, hold cup	
303	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	302	['00000303_00.jpg', '00000303_01.jpg', '00000303_02.jpg', '00000303_03.jpg', '00000303_04.jpg', '00000303_05.jpg', '00000303_06.jpg', '00000303_07.jpg']	open cabinet, take out bread, spread butter on bread, put cheese on bread, close bread, cut sandwich in half	squeeze orange, pour juice, mix juice with water, add sugar, stir, pour mixture into glass	None of the choices provided	pour water, carry kettle, hold cup, carry teabag, carry cup, carry kettle	
304	Could you predict the series of actions in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	305	['00000304_00.jpg', '00000304_01.jpg', '00000304_02.jpg', '00000304_03.jpg', '00000304_04.jpg', '00000304_05.jpg', '00000304_06.jpg', '00000304_07.jpg']	carry kettle, carry teabox, open and close teabox	scoop water to kettle, carry teabox, open and close fridge, peel orange, transfer fruit to bowl	carry kettle, open and close drawer, reach for bowl, pour milk to bowl, cook eggs	None of the choices provided	
305	Could you predict the series of actions in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	304	['00000305_00.jpg', '00000305_01.jpg', '00000305_02.jpg', '00000305_03.jpg', '00000305_04.jpg', '00000305_05.jpg', '00000305_06.jpg', '00000305_07.jpg']	carry teabox, open and close teabox, carry kettle	None of the choices provided	carry kettle, open and close drawer, reach for bowl, pour milk to bowl, cook eggs	open and close teabox, carry kettle, carry spoon, hold fruit to bowl	
306	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	307	['00000306_00.jpg', '00000306_01.jpg', '00000306_02.jpg', '00000306_03.jpg', '00000306_04.jpg', '00000306_05.jpg', '00000306_06.jpg', '00000306_07.jpg']	close cabinet, carry kettle, pour water, carry kettle	lift open drawer, close cabinet, pour water, carry kettle	None of the choices provided	carry pan, close cabinet, pour water, carry kettle	
307	Can you recognize the actions that occur in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	306	['00000307_00.jpg', '00000307_01.jpg', '00000307_02.jpg', '00000307_03.jpg', '00000307_04.jpg', '00000307_05.jpg', '00000307_06.jpg', '00000307_07.jpg']	close cabinet, switch stove, pour water, carry kettle	None of the choices provided	pour water, carry kettle, close cabinet, carry kettle	carry pan, close cabinet, pour water, carry kettle	
308	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	309	['00000308_00.jpg', '00000308_01.jpg', '00000308_02.jpg', '00000308_03.jpg', '00000308_04.jpg', '00000308_05.jpg', '00000308_06.jpg', '00000308_07.jpg']	carry teabag, reach cup, pour juice, carry water	carry teabag, reach cup, pour milk, carry teabox	carry teabag, reach cup, pour water, carry kettle, reach cup, carry teabag	None of the choices provided	
309	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	308	['00000309_00.jpg', '00000309_01.jpg', '00000309_02.jpg', '00000309_03.jpg', '00000309_04.jpg', '00000309_05.jpg', '00000309_06.jpg', '00000309_07.jpg']	carry teabag, reach cup, pour milk, carry teabox	carry teabag, reach cup, pour milk, carry pan, reach cup	None of the choices provided	carry teabag, reach cup, pour water	
310	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	311	['00000310_00.jpg', '00000310_01.jpg', '00000310_02.jpg', '00000310_03.jpg', '00000310_04.jpg', '00000310_05.jpg', '00000310_06.jpg', '00000310_07.jpg']	None of the choices provided	carry teabag, hold cup, reach cup, carry cup, pour water, pour water	hold bowl, lift cup, reach cup, carry cup, pour milk, pour milk	peel fruit, wipe cup, reach cup, carry cup, pour juice, pour juice	
311	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	310	['00000311_00.jpg', '00000311_01.jpg', '00000311_02.jpg', '00000311_03.jpg', '00000311_04.jpg', '00000311_05.jpg', '00000311_06.jpg', '00000311_07.jpg']	hold bowl, lift cup, reach cup, carry cup, pour milk, pour milk	peel fruit, wipe cup, reach cup, carry cup, pour juice, pour juice	scoop sugar, pull cup, reach cup, carry cup, pour hot water, pour hot water	None of the choices provided	
312	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	313	['00000312_00.jpg', '00000312_01.jpg', '00000312_02.jpg', '00000312_03.jpg', '00000312_04.jpg', '00000312_05.jpg', '00000312_06.jpg', '00000312_07.jpg']	pick up cup, scoop sugar, carry sugar, reach kettle, pour water	lift open drawer, grab teabag, squeeze teabag, transfer teabag, pour water	reach cup, pour water, carry kettle, reach teabag, carry teabag	None of the choices provided	
313	Please predict the series of actions that occur in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	312	['00000313_00.jpg', '00000313_01.jpg', '00000313_02.jpg', '00000313_03.jpg', '00000313_04.jpg', '00000313_05.jpg', '00000313_06.jpg', '00000313_07.jpg']	grab spoon, stir coffee, reach teabag, carry teabag	reach teabag, carry teabag, reach cup, pour water, carry kettle	pick up cup, scoop sugar, carry sugar, reach kettle, pour water	None of the choices provided	
314	Can you identify the sequence of actions in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	315	['00000314_00.jpg', '00000314_01.jpg', '00000314_02.jpg', '00000314_03.jpg', '00000314_04.jpg', '00000314_05.jpg', '00000314_06.jpg', '00000314_07.jpg']	None of the choices provided	carry sugar, open teabag, carry teabag, reach cup	carry spoon, open teabag, carry teabag, reach cup	carry teabag, open teabag, carry teabag, reach cup	
315	Can you identify the sequence of actions in this video and list them in order? <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	314	['00000315_00.jpg', '00000315_01.jpg', '00000315_02.jpg', '00000315_03.jpg', '00000315_04.jpg', '00000315_05.jpg', '00000315_06.jpg', '00000315_07.jpg']	carry spoon, open teabag, carry teabag, reach cup	pour tea, pick up teabag, reach cup	reach cup, carry teabag, open teabag, carry teabag	None of the choices provided	
316	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	317	['00000316_00.jpg', '00000316_01.jpg', '00000316_02.jpg', '00000316_03.jpg', '00000316_04.jpg', '00000316_05.jpg', '00000316_06.jpg', '00000316_07.jpg']	pour flour, reach teabag, carry teabag, reach kettle, carry kettle, pour water	reach teabag, carry teabag, reach teabag, reach kettle, carry kettle, pour water	reach teabag, carry teabag, reach kettle, carry kettle, pour water, carry kettle	None of the choices provided	
317	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	316	['00000317_00.jpg', '00000317_01.jpg', '00000317_02.jpg', '00000317_03.jpg', '00000317_04.jpg', '00000317_05.jpg', '00000317_06.jpg', '00000317_07.jpg']	None of the choices provided	reach teabag, carry teabag, reach kettle, carry kettle, open fridge, pour water	carry teabag, reach kettle, carry kettle, pour water, carry kettle, reach teabag	pour flour, reach teabag, carry teabag, reach kettle, carry kettle, pour water	
318	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	319	['00000318_00.jpg', '00000318_01.jpg', '00000318_02.jpg', '00000318_03.jpg', '00000318_04.jpg', '00000318_05.jpg', '00000318_06.jpg', '00000318_07.jpg']	None of the choices provided	carry kettle, open, transfer water	carry teabag, open, pour water	carry teabag, carry kettle, pour water	
319	Please identify the sequence of actions in this video and record them in sequence. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	318	['00000319_00.jpg', '00000319_01.jpg', '00000319_02.jpg', '00000319_03.jpg', '00000319_04.jpg', '00000319_05.jpg', '00000319_06.jpg', '00000319_07.jpg']	carry kettle, pour tea, open	None of the choices provided	carry kettle, open, transfer water	carry kettle, pour water, carry teabag	
320	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	321	['00000320_00.jpg', '00000320_01.jpg', '00000320_02.jpg', '00000320_03.jpg', '00000320_04.jpg', '00000320_05.jpg', '00000320_06.jpg', '00000320_07.jpg']	pour water, carry kettle, reach teabag, open teabag	cut bread, carry plate, pour juice, open butter	None of the choices provided	crack egg, scoop sugar, reach teabag, open salt	
321	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	320	['00000321_00.jpg', '00000321_01.jpg', '00000321_02.jpg', '00000321_03.jpg', '00000321_04.jpg', '00000321_05.jpg', '00000321_06.jpg', '00000321_07.jpg']	squeeze water, lift open kettle, reach bowl, open teabag	None of the choices provided	cut bread, carry plate, pour juice, open butter	carry kettle, reach teabag, pour water, open teabag	
322	Please predict the sequence of actions happening in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	323	['00000322_00.jpg', '00000322_01.jpg', '00000322_02.jpg', '00000322_03.jpg', '00000322_04.jpg', '00000322_05.jpg', '00000322_06.jpg', '00000322_07.jpg']	cook pasta, pick up fork, open bag, twist pepper cap, screw open teabox	peel potato, reach salt cap, pour oil, pick up spatula, transfer pancake to plate	pour water, carry kettle, reach teabag, carry teabag	None of the choices provided	
323	Please predict the sequence of actions happening in this video and enumerate them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	D	Action Understanding	Temporal	Photography	322	['00000323_00.jpg', '00000323_01.jpg', '00000323_02.jpg', '00000323_03.jpg', '00000323_04.jpg', '00000323_05.jpg', '00000323_06.jpg', '00000323_07.jpg']	cook pasta, pick up fork, open bag, twist pepper cap, screw open teabox	carry kettle, reach teabag, pour water, carry teabag	squeeze lemon, transfer flour to bowl, flip pancake, crack egg, smear butter to bread	None of the choices provided	
324	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	C	Action Understanding	Temporal	Photography	325	['00000324_00.jpg', '00000324_01.jpg', '00000324_02.jpg', '00000324_03.jpg', '00000324_04.jpg', '00000324_05.jpg', '00000324_06.jpg', '00000324_07.jpg']	None of the choices provided	pick up teabag, close teabox, switch on kettle	reach teabox, open and close teabox, reach teabox, reach teabag	open teabox, reach mug, pour hot water, reach teabag	
325	Please determine the order of actions in this video and list them. <image> <image> <image> <image> <image> <image> <image> <image> .	A	Action Understanding	Temporal	Photography	324	['00000325_00.jpg', '00000325_01.jpg', '00000325_02.jpg', '00000325_03.jpg', '00000325_04.jpg', '00000325_05.jpg', '00000325_06.jpg', '00000325_07.jpg']	None of the choices provided	open teabox, reach teapot, reach teabag	open teabox, reach mug, pour hot water, reach teabag	close teabox, reach teabox, reach teabox, open and reach teabag	
326	Please recognize the actions happening in this video and list them in order. <image> <image> <image> <image> <image> <image> <image> <image> .	B	Action Understanding	Temporal	Photography	327	['00000326_00.jpg', '00000326_01.jpg', '00000326_02.jpg', '00000326_03.jpg', '00000326_04.jpg', '00000326_05.jpg', '00000326_06.jpg', '00000326_07.jpg']	cut bread, reach kettle, transfer flour to bowl, stir, pour water	carry teabag, reach kettle, carry kettle, pour water, carry kettle	None of the choices provided	transfer fruit to bowl, open, carry kettle, flip pancake, scoop flour to bowl	
